epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3012,0.59862,1.68477,1.07073,0.9968,0.98667,0.99487,0.92669,0.36824,1.65926,0.86158,0.000657778,0.000657778,0.000657778
2,57.0897,0.58401,0.96453,1.01508,0.83854,0.65785,0.71897,0.6358,0.58387,3.83768,1.03269,0.00129166,0.00129166,0.00129166
3,82.0235,0.58891,0.75393,1.00454,0.89688,0.93333,0.96048,0.88246,0.4229,1.56584,0.88725,0.00189255,0.00189255,0.00189255
4,107.128,0.56312,0.63832,0.99761,0.97531,0.96,0.98729,0.88935,0.41127,0.62276,0.87718,0.0018515,0.0018515,0.0018515
5,131.568,0.55752,0.55717,1.00386,0.99614,0.98,0.99032,0.94562,0.33418,0.36147,0.83564,0.001802,0.001802,0.001802
6,155.668,0.53935,0.51108,0.98753,0.99256,0.98,0.99424,0.96027,0.308,0.51312,0.82972,0.0017525,0.0017525,0.0017525
7,179.085,0.50464,0.45788,0.97799,0.98632,0.98667,0.99441,0.94747,0.32156,0.4169,0.8309,0.001703,0.001703,0.001703
8,203.382,0.48533,0.42217,0.96182,0.99287,1,0.995,0.97042,0.28109,0.23978,0.81895,0.0016535,0.0016535,0.0016535
9,228.695,0.44907,0.39321,0.95156,0.99859,1,0.995,0.97329,0.2602,0.23963,0.8069,0.001604,0.001604,0.001604
10,253.719,0.44059,0.37322,0.95091,0.99946,0.98,0.99355,0.97147,0.27242,0.2636,0.82654,0.0015545,0.0015545,0.0015545
11,279.911,0.43691,0.36712,0.94097,0.99534,0.98,0.98663,0.96562,0.27505,0.24119,0.82022,0.001505,0.001505,0.001505
12,304.92,0.42341,0.35491,0.93749,0.99835,1,0.995,0.97991,0.23367,0.20143,0.80106,0.0014555,0.0014555,0.0014555
13,329.239,0.42339,0.34331,0.93978,0.99481,1,0.995,0.98756,0.22814,0.20904,0.79741,0.001406,0.001406,0.001406
14,354.123,0.41282,0.33709,0.94004,0.9989,0.99333,0.995,0.97427,0.26651,0.20345,0.8037,0.0013565,0.0013565,0.0013565
15,378.445,0.39084,0.32117,0.92708,0.99932,1,0.995,0.98217,0.23711,0.1919,0.79649,0.001307,0.001307,0.001307
16,402.907,0.41953,0.32606,0.9394,0.99798,1,0.995,0.98514,0.21446,0.18964,0.79223,0.0012575,0.0012575,0.0012575
17,427.951,0.38234,0.29662,0.92075,0.99894,1,0.995,0.9876,0.21332,0.17356,0.79113,0.001208,0.001208,0.001208
